onset	duration	trial_type	value	sample
104.96333333333334	0.5	D	5	31489
110.97333333333333	0.5	target	30	33292
110.97333333333333	0.5	Z	27	33292
111.27333333333333	0.5	nontarget	29	33382
111.27333333333333	0.5	G	8	33382
111.57333333333334	0.5	nontarget	29	33472
111.57333333333334	0.5	I	10	33472
111.87333333333333	0.5	nontarget	29	33562
111.87333333333333	0.5	L	13	33562
112.17	0.5	nontarget	29	33651
112.17	0.5	_	28	33651
112.47333333333333	0.5	nontarget	29	33742
112.47333333333333	0.5	Q	18	33742
112.77333333333333	0.5	nontarget	29	33832
112.77333333333333	0.5	O	16	33832
113.07333333333334	0.5	nontarget	29	33922
113.07333333333334	0.5	B	3	33922
113.44333333333333	0.5	nontarget	29	34033
113.44333333333333	0.5	F	7	34033
113.74333333333334	0.5	nontarget	29	34123
113.74333333333334	0.5	N	15	34123
119.75	0.5	nontarget	29	35925
119.75	0.5	R	19	35925
120.05	0.5	nontarget	29	36015
120.05	0.5	O	16	36015
120.35	0.5	nontarget	29	36105
120.35	0.5	H	9	36105
120.65	0.5	nontarget	29	36195
120.65	0.5	B	3	36195
120.95	0.5	nontarget	29	36285
120.95	0.5	W	24	36285
121.25	0.5	nontarget	29	36375
121.25	0.5	L	13	36375
121.55	0.5	nontarget	29	36465
121.55	0.5	M	14	36465
121.84666666666666	0.5	nontarget	29	36554
121.84666666666666	0.5	K	12	36554
122.14666666666666	0.5	target	30	36644
122.14666666666666	0.5	F	7	36644
122.45	0.5	nontarget	29	36735
122.45	0.5	D	5	36735
128.46	0.5	nontarget	29	38538
128.46	0.5	M	14	38538
128.76	0.5	nontarget	29	38628
128.76	0.5	Q	18	38628
129.06	0.5	nontarget	29	38718
129.06	0.5	U	22	38718
129.36333333333334	0.5	target	30	38809
129.36333333333334	0.5	_	28	38809
129.66333333333333	0.5	nontarget	29	38899
129.66333333333333	0.5	I	10	38899
129.96333333333334	0.5	nontarget	29	38989
129.96333333333334	0.5	H	9	38989
130.26333333333332	0.5	nontarget	29	39079
130.26333333333332	0.5	W	24	39079
130.56333333333333	0.5	nontarget	29	39169
130.56333333333333	0.5	R	19	39169
130.86333333333334	0.5	nontarget	29	39259
130.86333333333334	0.5	J	11	39259
131.16333333333333	0.5	nontarget	29	39349
131.16333333333333	0.5	B	3	39349
137.17333333333335	0.5	nontarget	29	41152
137.17333333333335	0.5	K	12	41152
137.47333333333333	0.5	nontarget	29	41242
137.47333333333333	0.5	E	6	41242
137.77333333333334	0.5	nontarget	29	41332
137.77333333333334	0.5	B	3	41332
138.07333333333332	0.5	target	30	41422
138.07333333333332	0.5	Z	27	41422
138.37666666666667	0.5	nontarget	29	41513
138.37666666666667	0.5	N	15	41513
138.67666666666668	0.5	nontarget	29	41603
138.67666666666668	0.5	O	16	41603
138.97666666666666	0.5	nontarget	29	41693
138.97666666666666	0.5	Y	26	41693
139.27666666666667	0.5	nontarget	29	41783
139.27666666666667	0.5	H	9	41783
139.58	0.5	nontarget	29	41874
139.58	0.5	F	7	41874
139.88	0.5	nontarget	29	41964
139.88	0.5	_	28	41964
145.89	0.5	nontarget	29	43767
145.89	0.5	W	24	43767
146.18666666666667	0.5	nontarget	29	43856
146.18666666666667	0.5	H	9	43856
146.48666666666668	0.5	nontarget	29	43946
146.48666666666668	0.5	J	11	43946
146.78666666666666	0.5	nontarget	29	44036
146.78666666666666	0.5	_	28	44036
147.08666666666667	0.5	nontarget	29	44126
147.08666666666667	0.5	L	13	44126
147.38666666666666	0.5	nontarget	29	44216
147.38666666666666	0.5	N	15	44216
147.68666666666667	0.5	nontarget	29	44306
147.68666666666667	0.5	S	20	44306
147.98333333333332	0.5	target	30	44395
147.98333333333332	0.5	K	12	44395
